Second,Count,Tempo (BPM),Beat Times (s)
0.0,502,[112.34714674],0.2205895691609977
0.5,936,[112.34714674],0.7662585034013606
1.0,845,[112.34714674],1.2770975056689342
1.5,760,[112.34714674],1.787936507936508
2.0,850,[112.34714674],2.345215419501134
2.5,787,[112.34714674],2.8908843537414968
3.0,816,[112.34714674],3.4017233560090703
3.5,882,[112.34714674],3.912562358276644
4.0,918,[112.34714674],4.46984126984127
4.5,953,[112.34714674],5.015510204081632
5.0,1023,[112.34714674],5.526349206349207
5.5,953,[112.34714674],6.03718820861678
6.0,971,[112.34714674],6.594467120181406
6.5,1071,[112.34714674],7.1401360544217685
7.0,1170,[112.34714674],7.650975056689342
7.5,1183,[112.34714674],8.150204081632653
8.0,1185,[112.34714674],8.695873015873016
8.5,1121,[112.34714674],9.241541950113378
9.0,1124,[112.34714674],9.775600907029478
9.5,1099,[112.34714674],10.309659863945578
10.0,1077,[112.34714674],10.797278911564623
10.5,1029,[112.34714674],11.34294784580499
11.0,1088,[112.34714674],11.888616780045352
11.5,1084,[112.34714674],12.434285714285714
12.0,1075,[112.34714674],12.968344671201814
12.5,1070,[112.34714674],13.467573696145124
13.0,1091,[112.34714674],14.036462585034014
13.5,1183,[112.34714674],14.570521541950113
14.0,1215,[112.34714674],15.09297052154195
14.5,1259,[112.34714674],15.638639455782313
15.0,1376,[112.34714674],16.149478458049888
15.5,1393,[112.34714674],16.671927437641724
16.0,1508,[112.34714674],17.182766439909297
16.5,1503,[112.34714674],17.69360544217687
17.0,1662,[112.34714674],18.274104308390022
17.5,1590,[112.34714674],18.773333333333333
18.0,1721,[112.34714674],19.284172335600907
18.5,1804,[112.34714674],19.783401360544214
19.0,1827,[112.34714674],20.352290249433107
19.5,1837,[112.34714674],20.921179138322
20.0,1952,[112.34714674],21.478458049886623
20.5,1895,[112.34714674],21.966077097505668
21.0,1976,[112.34714674],22.53496598639456
21.5,1981,[112.34714674],23.092244897959183
22.0,2002,[112.34714674],23.60308390022676
22.5,2033,[112.34714674],24.13714285714286
23.0,2017,[112.34714674],24.65959183673469
23.5,2129,[112.34714674],25.18204081632653
24.0,2154,[112.34714674],25.704489795918366
24.5,2124,[112.34714674],26.23854875283447
25.0,2142,[112.34714674],26.772607709750567
25.5,2186,[112.34714674],27.2950566893424
26.0,2206,[112.34714674],27.829115646258504
26.5,2236,[112.34714674],28.363174603174603
27.0,2215,[112.34714674],28.897233560090704
27.5,2237,[112.34714674],29.431292517006803
28.0,2320,[112.34714674],29.930521541950117
28.5,2349,[112.34714674],30.48780045351474
29.0,2382,[112.34714674],31.010249433106576
29.5,2375,[112.34714674],31.544308390022675
30.0,2444,[112.34714674],32.07836734693878
30.5,2480,[112.34714674],32.612426303854875
31.0,2590,[112.34714674],33.14648526077097
31.5,2678,[112.34714674],33.68054421768707
32.0,3117,[112.34714674],34.21460317460318
32.5,3351,[112.34714674],34.73705215419501
33.0,3710,[112.34714674],35.25950113378685
33.5,4291,[112.34714674],35.79356009070295
34.0,4661,[112.34714674],36.327619047619045
34.5,5207,[112.34714674],36.86167800453515
35.0,5894,[112.34714674],37.384126984126986
35.5,6305,[112.34714674],37.90657596371882
36.0,6969,[112.34714674],38.39419501133787
36.5,7598,[112.34714674],38.93986394557823
37.0,8185,[112.34714674],39.50875283446712
37.5,8412,[112.34714674],40.04281179138322
38.0,8937,[112.34714674],40.57687074829932
38.5,9372,[112.34714674],41.11092970521542
39.0,10080,[112.34714674],41.64498866213152
39.5,10326,[112.34714674],42.15582766439909
40.0,11392,[112.34714674],42.67827664399093
40.5,13109,[112.34714674],43.20072562358277
41.0,13065,[112.34714674],43.71156462585034
41.5,12286,[112.34714674],44.268843537414966
42.0,11346,[112.34714674],44.81451247165533
42.5,11917,[112.34714674],45.34857142857143
43.0,11861,[112.34714674],45.88263038548753
43.5,10745,[112.34714674],46.41668934240363
44.0,9806,[112.34714674],46.939138321995465
44.5,8678,[112.34714674],47.47319727891156
45.0,7853,[112.34714674],48.00725623582766
45.5,7035,[112.34714674],48.54131519274377
46.0,6762,[112.34714674],49.0637641723356
46.5,6365,[112.34714674],49.5978231292517
47.0,6576,[112.34714674],50.1318820861678
47.5,6251,[112.34714674],50.6659410430839
48.0,5825,[112.34714674],51.2
48.5,5368,[112.34714674],51.72244897959184
49.0,5451,[112.34714674],52.25650793650794
49.5,5981,[112.34714674],52.79056689342404
50.0,6212,[112.34714674],53.31301587301587
50.5,6485,[112.34714674],53.84707482993197
51.0,6623,[112.34714674],54.38113378684808
51.5,6875,[112.34714674],54.91519274376417
52.0,7101,[112.34714674],55.44925170068027
52.5,7433,[112.34714674],55.97170068027211
53.0,7404,[112.34714674],56.505759637188206
53.5,7675,[112.34714674],57.02820861678005
54.0,7766,[112.34714674],57.56226757369615
54.5,7838,[112.34714674],58.096326530612245
55.0,7596,[112.34714674],58.63038548752834
55.5,7661,[112.34714674],59.16444444444444
56.0,7626,[112.34714674],59.686893424036285
56.5,7568,[112.34714674],60.22095238095238
57.0,7345,[112.34714674],60.75501133786848
57.5,7507,[112.34714674],61.30068027210884
58.0,7238,[112.34714674],61.811519274376415
58.5,6890,[112.34714674],62.345578231292514
59.0,6452,[112.34714674],62.87963718820862
59.5,6435,[112.34714674],63.402086167800455
60.0,6287,[112.34714674],63.93614512471655
60.5,6027,[112.34714674],64.47020408163266
61.0,5795,[112.34714674],65.00426303854876
61.5,5559,[112.34714674],65.53832199546486
62.0,5590,[112.34714674],66.06077097505668
62.5,5475,[112.34714674],66.59482993197278
63.0,5350,[112.34714674],67.1288888888889
63.5,5173,[112.34714674],67.65133786848072
64.0,4924,[112.34714674],68.18539682539682
64.5,4763,[112.34714674],68.71945578231292
65.0,4730,[112.34714674],69.24190476190476
65.5,4459,[112.34714674],69.77596371882086
66.0,4417,[112.34714674],70.26358276643991
66.5,4230,[112.34714674],70.8324716553288
67.0,4238,[112.34714674],71.3665306122449
67.5,4066,[112.34714674],71.900589569161
68.0,3991,[112.34714674],72.4346485260771
68.5,3818,[112.34714674],72.9687074829932
69.0,3909,[112.34714674],73.49115646258504
69.5,3736,[112.34714674],74.02521541950114
70.0,3691,[112.34714674],74.55927437641724
70.5,3613,[112.34714674],75.09333333333333
71.0,3391,[112.34714674],75.61578231292518
71.5,3466,[112.34714674],76.14984126984127
72.0,3289,[112.34714674],76.68390022675737
72.5,3134,[112.34714674],77.2063492063492
73.0,2995,[112.34714674],77.7404081632653
73.5,2978,[112.34714674],78.27446712018141
74.0,2816,[112.34714674],78.80852607709751
74.5,2720,[112.34714674],79.33097505668934
75.0,2611,[112.34714674],79.83020408163266
75.5,2507,[112.34714674],80.30621315192744
76.0,2417,[112.34714674],80.8518820861678
76.5,2403,[112.34714674],81.39755102040816
77.0,2377,[112.34714674],81.90839002267573
77.5,2361,[112.34714674],82.43083900226758
78.0,2316,[112.34714674],82.94167800453515
78.5,2271,[112.34714674],83.53378684807257
79.0,2144,[112.34714674],84.06784580498866
79.5,2123,[112.34714674],84.60190476190476
80.0,2014,[112.34714674],85.11274376417234
80.5,1972,[112.34714674],85.6584126984127
81.0,1973,[112.34714674],86.20408163265306
81.5,1877,[112.34714674],86.73814058956916
82.0,1875,[112.34714674],87.27219954648525
82.5,1920,[112.34714674],87.80625850340137
83.0,1848,[112.34714674],88.35192743764172
83.5,1737,[112.34714674],88.89759637188209
84.0,1707,[112.34714674],89.44326530612246
84.5,1648,[112.34714674],89.96571428571428
85.0,1613,[112.34714674],90.49977324263038
85.5,1608,[112.34714674],91.02222222222224
86.0,1555,[112.34714674],91.56789115646258
86.5,1518,[112.34714674],92.09034013605442
87.0,1572,[112.34714674],92.61278911564628
87.5,1453,[112.34714674],93.14684807256236
88.0,1451,[112.34714674],93.68090702947846
88.5,1392,[112.34714674],94.22657596371882
89.0,1451,[112.34714674],94.74902494331066
89.5,1341,[112.34714674],95.2714739229025
90.0,1431,[112.34714674],95.79392290249432
90.5,1387,[112.34714674],96.32798185941044
91.0,1347,[112.34714674],96.86204081632653
91.5,1431,[112.34714674],97.39609977324264
92.0,1340,[112.34714674],97.91854875283448
92.5,1235,[112.34714674],98.45260770975057
93.0,1306,[112.34714674],98.9750566893424
93.5,1273,[112.34714674],99.50911564625852
94.0,1310,[112.34714674],100.0431746031746
94.5,1188,[112.34714674],100.5772335600907
95.0,1259,[112.34714674],101.1112925170068
95.5,1179,[112.34714674],101.63374149659865
96.0,1181,[112.34714674],102.16780045351474
96.5,1160,[112.34714674],102.70185941043084
97.0,1207,[112.34714674],103.23591836734694
97.5,1122,[112.34714674],103.76997732426304
98.0,1083,[112.34714674],104.29242630385488
98.5,1128,[112.34714674],104.82648526077098
99.0,1143,[112.34714674],105.3489342403628
99.5,1065,[112.34714674],105.8829931972789
100.0,1138,[112.34714674],106.417052154195
100.5,1104,[112.34714674],106.95111111111112
101.0,1098,[112.34714674],107.47356009070296
101.5,1084,[112.34714674],108.00761904761904
102.0,1219,[112.34714674],108.54167800453514
102.5,1199,[112.34714674],109.07573696145124
103.0,1214,[112.34714674],109.59818594104308
103.5,1254,[112.34714674],110.13224489795918
104.0,1380,[112.34714674],110.66630385487528
104.5,1385,[112.34714674],111.18875283446712
105.0,1359,[112.34714674],111.73442176870748
105.5,1412,[112.34714674],112.24526077097504
106.0,1467,[112.34714674],112.75609977324262
106.5,1425,[112.34714674],113.25532879818594
107.0,1411,[112.34714674],113.81260770975057
107.5,1452,[112.34714674],114.38149659863946
108.0,1449,[112.34714674],114.91555555555556
108.5,1412,[112.34714674],115.44961451247164
109.0,1428,[112.34714674],115.9720634920635
109.5,1499,[112.34714674],116.5061224489796
110.0,1481,[112.34714674],117.02857142857142
110.5,1654,[112.34714674],117.56263038548752
111.0,1851,[112.34714674],118.09668934240362
111.5,1805,[112.34714674],118.63074829931972
112.0,1677,[112.34714674],119.15319727891156
112.5,1578,[112.34714674],119.68725623582766
113.0,1503,[112.34714674],120.22131519274376
113.5,1412,[112.34714674],120.75537414965986
114.0,1314,[112.34714674],121.2778231292517
114.5,1290,[112.34714674],121.8118820861678
115.0,1214,[112.34714674],122.3459410430839
115.5,1276,[112.34714674],122.88
116.0,1205,[112.34714674],123.3560090702948
116.5,1202,[112.34714674],123.93650793650794
117.0,1321,[112.34714674],124.47056689342404
117.5,1274,[112.34714674],125.00462585034012
118.0,1214,[112.34714674],125.52707482993198
118.5,1262,[112.34714674],126.06113378684807
119.0,1388,[112.34714674],126.59519274376416
119.5,1474,[112.34714674],127.12925170068029
120.0,1582,[112.34714674],127.65170068027211
120.5,1719,[112.34714674],128.1857596371882
121.0,1635,[112.34714674],128.7198185941043
121.5,1780,[112.34714674],129.24226757369615
122.0,1777,[112.34714674],129.77632653061224
122.5,1932,[112.34714674],130.31038548752835
123.0,1889,[112.34714674],130.84444444444443
123.5,1958,[112.34714674],131.37850340136055
124.0,1999,[112.34714674],131.9009523809524
124.5,2101,[112.34714674],132.43501133786847
125.0,2107,[112.34714674],132.9690702947846
125.5,2081,[112.34714674],133.49151927437643
126.0,2125,[112.34714674],134.0255782312925
126.5,2042,[112.34714674],134.55963718820863
127.0,2080,[112.34714674],135.0936961451247
127.5,1931,[112.34714674],135.61614512471655
128.0,1918,[112.34714674],136.1502040816327
128.5,1946,[112.34714674],136.68426303854875
129.0,1910,[112.34714674],137.21832199546486
129.5,1907,[112.34714674],137.74077097505668
130.0,1867,[112.34714674],138.2748299319728
130.5,1791,[112.34714674],138.8088888888889
131.0,1764,[112.34714674],139.33133786848072
131.5,1753,[112.34714674],139.86539682539683
132.0,1688,[112.34714674],140.3994557823129
132.5,1651,[112.34714674],140.93351473922905
133.0,1661,[112.34714674],141.45596371882087
133.5,1570,[112.34714674],141.99002267573695
134.0,1576,[112.34714674],142.52408163265306
134.5,1553,[112.34714674],143.05814058956915
135.0,1556,[112.34714674],143.580589569161
135.5,1494,[112.34714674],144.1146485260771
136.0,1416,[112.34714674],144.6487074829932
136.5,1466,[112.34714674],145.17115646258503
137.0,1478,[112.34714674],145.70521541950114
137.5,1479,[112.34714674],146.23927437641723
138.0,1346,[112.34714674],146.77333333333334
138.5,1499,[112.34714674],147.29578231292518
139.0,1474,[112.34714674],147.82984126984127
139.5,1337,[112.34714674],148.37551020408162
140.0,1352,[112.34714674],148.90956916099773
140.5,1373,[112.34714674],149.44362811791385
141.0,1390,[112.34714674],149.96607709750566
141.5,1337,[112.34714674],150.51174603174604
142.0,1328,[112.34714674],151.04580498866213
142.5,1242,[112.34714674],151.57986394557824
143.0,1256,[112.34714674],152.0907029478458
143.5,1258,[112.34714674],152.61315192743766
144.0,1271,[112.34714674],153.14721088435374
144.5,1194,[112.34714674],153.68126984126985
145.0,1204,[112.34714674],154.21532879818594
145.5,1175,[112.34714674],154.73777777777778
146.0,1092,[112.34714674],155.27183673469386
146.5,1170,[112.34714674],155.80589569160998
147.0,1052,[112.34714674],156.31673469387755
147.5,1097,[112.34714674],156.81596371882085
148.0,1079,[112.34714674],157.38485260770975
148.5,1021,[112.34714674],157.9073015873016
149.0,1005,[112.34714674],158.41814058956916
149.5,975,[112.34714674],158.940589569161
150.0,975,[112.34714674],159.48625850340136
150.5,927,[112.34714674],160.02031746031747
151.0,983,[112.34714674],160.5427664399093
151.5,965,[112.34714674],161.11165532879818
152.0,876,[112.34714674],161.6457142857143
152.5,832,[112.34714674],162.15655328798186
153.0,819,[112.34714674],162.66739229024944
153.5,716,[112.34714674],163.16662131519274
154.0,729,[112.34714674],163.72390022675737
154.5,686,[112.34714674],164.281179138322
155.0,650,[112.34714674],164.8384580498866
155.5,689,[112.34714674],165.39573696145123
156.0,687,[112.34714674],165.9530158730159
156.5,723,[112.34714674],166.52190476190475
157.0,720,[112.34714674],167.02113378684808
157.5,681,[112.34714674],167.5203628117914
158.0,673,[112.34714674],168.0195918367347
158.5,665,[112.34714674],168.50721088435375
159.0,701,[112.34714674],169.0528798185941
159.5,721,[112.34714674],169.61015873015873
160.0,719,[112.34714674],170.15582766439908
160.5,674,[112.34714674],170.67827664399093
161.0,664,[112.34714674],171.21233560090704
161.5,650,[112.34714674],171.74639455782312
162.0,648,[112.34714674],172.28045351473924
162.5,647,[112.34714674],172.81451247165532
163.0,628,[112.34714674],173.33696145124716
163.5,591,[112.34714674],173.84780045351474
164.0,619,[112.34714674],174.38185941043085
164.5,606,[112.34714674],174.9275283446712
165.0,647,[112.34714674],175.44997732426305
165.5,615,[112.34714674],175.96081632653062
166.0,624,[112.34714674],176.50648526077097
166.5,596,[112.34714674],177.04054421768708
167.0,600,[112.34714674],177.58621315192744
167.5,526,[112.34714674],178.10866213151928
168.0,558,[112.34714674],178.64272108843537
168.5,545,[112.34714674],179.1651700680272
169.0,520,[112.34714674],179.69922902494332
169.5,580,[112.34714674],180.24489795918367
170.0,541,[112.34714674],180.79056689342403
170.5,560,[112.34714674],181.31301587301587
171.0,588,[112.34714674],181.7774149659864
171.5,552,[112.34714674],182.3579138321996
172.0,498,[112.34714674],182.88036281179137
172.5,567,[112.34714674],183.41442176870748
173.0,528,[112.34714674],183.93687074829933
173.5,492,[112.34714674],184.4709297052154
174.0,501,[112.34714674],185.00498866213152
174.5,496,[112.34714674],185.52743764172337
175.0,460,[112.34714674],186.06149659863945
175.5,533,[112.34714674],186.5955555555556
176.0,500,[112.34714674],187.1180045351474
176.5,548,[112.34714674],187.6520634920635
177.0,517,[112.34714674],188.1861224489796
177.5,520,[112.34714674],188.7201814058957
178.0,575,[112.34714674],189.2542403628118
178.5,590,[112.34714674],189.7766893424036
179.0,641,[112.34714674],190.31074829931973
179.5,619,[112.34714674],190.8331972789116
180.0,648,[112.34714674],191.33242630385487
180.5,558,[112.34714674],191.90131519274377
181.0,577,[112.34714674],192.43537414965985
181.5,566,[112.34714674],192.969433106576
182.0,572,[112.34714674],193.4918820861678
182.5,502,[112.34714674],194.0259410430839
183.0,522,[112.34714674],194.56
183.5,533,[112.34714674],195.0940589569161
184.0,490,[112.34714674],195.61650793650796
184.5,513,[112.34714674],196.15056689342404
185.0,508,[112.34714674],196.68462585034013
185.5,527,[112.34714674],197.21868480725624
186.0,566,[112.34714674],197.74113378684808
186.5,575,[112.34714674],198.27519274376417
187.0,636,[112.34714674],198.80925170068028
187.5,704,[112.34714674],199.35492063492063
188.0,772,[112.34714674],199.8657596371882
188.5,872,[112.34714674],200.39981859410432
189.0,934,[112.34714674],200.9338775510204
189.5,1013,[112.34714674],201.45632653061224
190.0,1063,[112.34714674],201.9903854875284
190.5,1139,[112.34714674],202.52444444444444
191.0,1233,[112.34714674],203.05850340136053
191.5,1273,[112.34714674],203.59256235827664
192.0,1286,[112.34714674],204.11501133786848
192.5,1329,[112.34714674],204.6490702947846
193.0,1358,[112.34714674],205.18312925170068
193.5,1450,[112.34714674],205.7055782312925
194.0,1477,[112.34714674],206.2396371882086
194.5,1423,[112.34714674],206.77369614512472
195.0,1324,[112.34714674],207.29614512471656
195.5,1394,[112.34714674],207.83020408163264
196.0,1381,[112.34714674],208.3642630385488
196.5,1332,[112.34714674],208.89832199546484
197.0,1336,[112.34714674],209.42077097505668
197.5,1314,[112.34714674],209.9548299319728
198.0,1320,[112.34714674],210.48888888888888
198.5,1275,[112.34714674],211.022947845805
199.0,1232,[112.34714674],211.54539682539684
199.5,1168,[112.34714674],212.0794557823129
200.0,1184,[112.34714674],212.61351473922903
200.5,1175,[112.34714674],213.14757369614512
201.0,1133,[112.34714674],213.67002267573696
201.5,1062,[112.34714674],214.20408163265307
202.0,1079,[112.34714674],214.7381405895692
202.5,996,[112.34714674],215.260589569161
203.0,1033,[112.34714674],215.7946485260771
203.5,1048,0,0.0
204.0,1014,0,0.0
204.5,1037,0,0.0
205.0,952,0,0.0
205.5,914,0,0.0
206.0,1021,0,0.0
206.5,931,0,0.0
207.0,833,0,0.0
207.5,974,0,0.0
208.0,902,0,0.0
208.5,923,0,0.0
209.0,871,0,0.0
209.5,896,0,0.0
210.0,911,0,0.0
210.5,853,0,0.0
211.0,800,0,0.0
211.5,831,0,0.0
212.0,811,0,0.0
212.5,700,0,0.0
213.0,739,0,0.0
213.5,658,0,0.0
214.0,593,0,0.0
214.5,585,0,0.0
215.0,563,0,0.0
215.5,520,0,0.0
216.0,486,0,0.0
216.5,480,0,0.0
217.0,437,0,0.0
217.5,432,0,0.0
218.0,431,0,0.0
218.5,376,0,0.0
219.0,395,0,0.0
219.5,361,0,0.0
220.0,367,0,0.0
220.5,294,0,0.0
221.0,288,0,0.0
221.5,271,0,0.0
222.0,206,0,0.0
222.5,198,0,0.0
223.0,200,0,0.0
223.5,217,0,0.0
224.0,189,0,0.0
224.5,226,0,0.0
225.0,186,0,0.0
225.5,148,0,0.0
226.0,147,0,0.0
226.5,160,0,0.0
227.0,116,0,0.0
227.5,139,0,0.0
228.0,159,0,0.0
228.5,142,0,0.0
229.0,136,0,0.0
229.5,96,0,0.0
230.0,80,0,0.0
230.5,81,0,0.0
231.0,60,0,0.0
231.5,52,0,0.0
232.0,56,0,0.0
232.5,51,0,0.0
233.0,41,0,0.0
233.5,39,0,0.0
234.0,39,0,0.0
234.5,11,0,0.0
235.0,13,0,0.0
235.5,11,0,0.0
236.0,7,0,0.0
236.5,13,0,0.0
237.0,5,0,0.0
237.5,5,0,0.0
239.0,1,0,0.0
